0  [0] (0)
253 sat sat mat  [6] (38)
254 sat sat on on  [6] (99)
255 sat sat sat  [6] (38)
256 sat sat the  [6] (38)
257 sat the cat  [6] (39)
258 sat the mat  [6] (39)
259 sat the on on  [6] (100)
260 sat the sat  [6] (39)
261 sat the the  [6] (39)
262 the cat cat  [6] (40)
263 the cat mat  [6] (40)
264 the cat on on  [6] (101)
265 the cat sat  [6] (40) GOAL!!

